4.5, 94.1809, 27.2757
4.525, 90.2802, 26.9801
4.55, 84.4262, 26.1601
4.575, 76.759, 24.7834
4.6, 67.4642, 22.8347
4.625, 56.768, 20.3295
4.65, 44.9317, 17.3247
4.675, 32.246, 13.9185
4.7, 19.0234, 10.2381
4.725, 5.58944, 6.41764
4.75, -7.72723, 2.5778
4.775, -20.6051, -1.18633
4.8, -32.7369, -4.80534
4.825, -43.8318, -8.22147
4.85, -53.6169, -11.3664
4.875, -61.8458, -14.158
4.9, -68.315, -16.5242
4.925, -72.8719, -18.4094
4.95, -75.4101, -19.7515
4.975, -75.8679, -20.4905
5, -74.2335, -20.6074
